id,name,is_clan,is_virtual,spelling_of,spellings,septs,present_national_histories,design_names,design_ids
1,Abercrombie,1,0,,"Abarcrumbie,Abercrummye,Abercrombye,Abircromby,Abircrumbye,Abircromme,Abircromy,Abircrumby,Abircrummy,Abircrumy,Abircromye,Abarcrumby,Abercromby",,,"Abercrombie ",3
2,Adams,0,0,Adam,,,,,
3,Agnew,1,0,,"Agneli,Agnex,Aignell,Aggnew,Agnewe,Agneaux,Aygnel,Angnew,Agnev,O'Gnive",,"scottish,english,welsh,irish","Agnew ",34
4,Ainslie,1,0,,,,,"Ainslie 1992 Variant, Ainslie Lake District, Ainslie","39, 40, 41"
5,Aitchison,0,0,,"Achisoune,Achisone,Achesoun,Achinsoun,Achesune,Achenson,Acheson,Achiesoun,Achesoune,Achieson,Achesone,Aitcheson,Aichesone,Aitchesoun,Aitchesoune,Aithchinson,Aitchysoune,Aichensoun,Aicheson,Atzensone,Atzeson,Atyesoun,Atchesone,Atchisone,Atchison,Aticione,Aschesone,Echesone,Etzesone,Eticione,Atkynson,Atkynsoun,Atzinson,Attkinsone,Atknson",,,,
6,Aitken,0,0,,"Ackin,Ackyn,Ackyne,Aitkene,Aikeyne,Aikine,Aikin,Aitkyn,Akene,Aicken,Aickin,Aitkane,Aitkine,Akin,Aickine,Aitcken,Aitkyne,Aiking,Akine,Aicking,Aken,Aikne,Aikein,Aikyne,Aikun,Aitkin,Akyne,Aukin,Atkine,Atken,Aytkyne,Atkyn,Aytkyn,Aytkine,Aykkyne,Eakin,Eckin,Eakins,Aiken,Aikens,Aitkens,Atkin,Aitcheson",,"scottish,english,welsh,irish",Aitken,43
7,Aiton,1,0,,"Aytoun,Ayton",Home,,Aiton,44
8,Akins,0,0,,,,,Akins,47
9,Alexander,0,0,,,"Alexander of Menstry",,"Alexander Hunting",59
10,Algarve,0,0,,,,,Algarve,66
12,Allison,0,0,Allan,,,,"Allison ",84
13,Anderson,1,0,,"Andesoune,Androsone,Andirsoune,Andrson,Andersonne,Andersone,Andison,Andrewson,Andirsoone,Andersoune,Andersoun,Andree,Andyrson,Androsoun,Androsoune,Andreson,Andresoun,Androson,Andson,Andirstoun,Andirston,Anderston,Aindrea,Andie,Andrewes,Andro,Androe,Androw,Andy,Anndra,Andersen,Andersson,Andresen","Anderson of Ardbrake,Anderson of Kinneddar","scottish,english,welsh,irish","Anderson Arisaid, Anderson Arisaid #2, Anderson Blue, Anderson Blue Westwood, Anderson Green, Anderson Grey, Anderson Old, Anderson Red, Anderson Ross, Anderson, Anderson Highland Society of London","109, 110, 111, 112, 113, 114, 118, 119, 120, 121, 122"
15,Arbuthnot,1,0,,"Aberbuthnocht,Aberbuthno,Aberbuthenoth,Aberbothenoth,Abirbuthenott,Arbuthnet,Arbuthneth,Arbuthnat,Arbuthnoth,Arbuthnott",,,"Arbuthnot ",153
16,Argyle,0,0,,,,,"Argyle Campbell, Argyle Dress","157, 158"
17,Armstrong,1,0,,"Armstrang,Armestrang,Armystrang,Harmestrang,Grozier,Crosier,Crosar","Crozier,Fairbairn,Fortenbras,Nixon","scottish,english,welsh,irish","Armstrong, Armstrong Old Colours","164, 5312"
