ID,Image,Name,SKU,Type,"Attrib. Set Name",Price,Status,Action,"Actual Supplier(s)","Display Supplier","Lead Times"
157045,,"Tartan Design Pencil Case",sr_prink_sil_pencil_<br/>case,"Printable Product","Printable Silhouette",£21.00,Enabled,"<a href=""https://magento.clan.com/index.php/admin/catalog_product/edit/id/157045/"">Edit</a>",Inkthreadable,"Clan Originals",
157044,,"Clan Crest Pencil Case",sr_crest_tartan_penc<br/>il_case,"Printable Product",Printable,£21.00,Enabled,"<a href=""https://magento.clan.com/index.php/admin/catalog_product/edit/id/157044/"">Edit</a>",Inkthreadable,"Clan Originals",
157043,,"Tartan Pencil Case",sr_prink_tartan_penc<br/>il_case,"Printable Product",Printable,£21.00,Enabled,"<a href=""https://magento.clan.com/index.php/admin/catalog_product/edit/id/157043/"">Edit</a>",Inkthreadable,"Clan Originals",
157042,,"Tartan Design Bath Mat",sr_prink_sil_bath_ma<br/>t,"Printable Product","Printable Silhouette",£32.00,Enabled,"<a href=""https://magento.clan.com/index.php/admin/catalog_product/edit/id/157042/"">Edit</a>",Inkthreadable,"Clan Originals",
157041,,"Clan Crest Bath Mat",sr_prink_clan_crest_<br/>bath_mat,"Printable Product",Printable,£32.00,Enabled,"<a href=""https://magento.clan.com/index.php/admin/catalog_product/edit/id/157041/"">Edit</a>",Inkthreadable,"Clan Originals",
157040,,"Tartan Bath Mat",sr_prink_tartan_bath<br/>_mat,"Printable Product",Printable,£32.00,Enabled,"<a href=""https://magento.clan.com/index.php/admin/catalog_product/edit/id/157040/"">Edit</a>",Inkthreadable,"Clan Originals",
157036,,"Tartan Design Glass Chopping Board",sr_prink_sil_choppin<br/>g_board,"Printable Product","Printable Silhouette",£31.00,Enabled,"<a href=""https://magento.clan.com/index.php/admin/catalog_product/edit/id/157036/"">Edit</a>",Inkthreadable,"Clan Originals",
157035,,"Clan Crest Glass Chopping Board",sr_prink_crest_chopp<br/>ing_board,"Printable Product",Printable,£31.00,Enabled,"<a href=""https://magento.clan.com/index.php/admin/catalog_product/edit/id/157035/"">Edit</a>",Inkthreadable,"Clan Originals",
157034,,"Tartan Glass Chopping Board",sr_prink_tartan_chop<br/>ping_board,"Printable Product",Printable,£31.00,Enabled,"<a href=""https://magento.clan.com/index.php/admin/catalog_product/edit/id/157034/"">Edit</a>",Inkthreadable,"Clan Originals",
157033,,"Tartan Design Bar Runner / Pet Bowl Mat",sr_prink_sil_bar_run<br/>ner,"Printable Product","Printable Silhouette",£29.00,Enabled,"<a href=""https://magento.clan.com/index.php/admin/catalog_product/edit/id/157033/"">Edit</a>",Inkthreadable,"Clan Originals",
157032,,"Clan Crest Bar Runner / Pet Bowl Mat",sr_prink_crest_bar_r<br/>unner,"Printable Product",Printable,£29.00,Enabled,"<a href=""https://magento.clan.com/index.php/admin/catalog_product/edit/id/157032/"">Edit</a>",Inkthreadable,"Clan Originals",
157031,,"Tartan Bar Runner / Pet Bowl Mat",sr_prink_tartan_bar_<br/>runner,"Printable Product",Printable,£29.00,Enabled,"<a href=""https://magento.clan.com/index.php/admin/catalog_product/edit/id/157031/"">Edit</a>",Inkthreadable,"Clan Originals",
157030,,"Tartan Design Indoor Door Mat",sr_prink_sil_door_ma<br/>t,"Printable Product","Printable Silhouette",£45.00,Enabled,"<a href=""https://magento.clan.com/index.php/admin/catalog_product/edit/id/157030/"">Edit</a>",Inkthreadable,"Clan Originals",
157029,,"Clan Crest Indoor Door Mat",sr_prink_crest_door_<br/>mat,"Printable Product",Printable,£45.00,Enabled,"<a href=""https://magento.clan.com/index.php/admin/catalog_product/edit/id/157029/"">Edit</a>",Inkthreadable,"Clan Originals",
157028,,"Tartan Indoor Door Mat",sr_prink_tartan_door<br/>_mat,"Printable Product",Printable,£45.00,Enabled,"<a href=""https://magento.clan.com/index.php/admin/catalog_product/edit/id/157028/"">Edit</a>",Inkthreadable,"Clan Originals",
157027,,"Tartan Design Place Mat",sr_prink_sil_place_m<br/>at,"Printable Product","Printable Silhouette",£26.00,Enabled,"<a href=""https://magento.clan.com/index.php/admin/catalog_product/edit/id/157027/"">Edit</a>",Inkthreadable,"Clan Originals",
157026,,"Clan Crest Place Mat",sr_prink_crest_place<br/>_mat,"Printable Product",Printable,£26.00,Enabled,"<a href=""https://magento.clan.com/index.php/admin/catalog_product/edit/id/157026/"">Edit</a>",Inkthreadable,"Clan Originals",
