id,content_type,idea_id,scheduled_date,status
1646,weekly_insult,1294,2026-01-23,ready
3145,weekly_insult,1296,2026-01-30,pending
3230,weekly_phrase,1189,2026-01-21,ready
4552,weekly_word,1092,2026-01-22,ready
4553,weekly_phrase,1188,2026-01-22,ready
4554,weekly_insult,1295,2026-01-22,ready
4555,weekly_word,1093,2026-01-22,ready
4556,weekly_phrase,1189,2026-01-22,ready
4557,weekly_insult,1296,2026-01-22,ready
5519,weekly_word,1092,2026-01-23,ready
5520,weekly_phrase,1188,2026-01-23,ready
5522,weekly_word,1093,2026-01-23,ready
5523,weekly_phrase,1189,2026-01-23,ready
5524,weekly_insult,1296,2026-01-23,ready
7235,weekly_word,1092,2026-01-24,ready
7236,weekly_phrase,1188,2026-01-24,ready
7237,weekly_insult,1295,2026-01-24,ready
7238,weekly_word,1093,2026-01-24,ready
7239,weekly_phrase,1189,2026-01-24,ready
7240,weekly_insult,1296,2026-01-24,ready
8957,weekly_word,1092,2026-01-25,ready
8958,weekly_phrase,1188,2026-01-25,ready
8959,weekly_insult,1295,2026-01-25,ready
8960,weekly_word,1093,2026-01-25,ready
8961,weekly_phrase,1189,2026-01-25,ready
8962,weekly_insult,1296,2026-01-25,ready
10722,weekly_phrase,1188,2026-01-26,ready
10723,weekly_insult,1295,2026-01-26,ready
10725,weekly_phrase,1189,2026-01-26,ready
10726,weekly_insult,1296,2026-01-26,ready
14448,weekly_insult,1295,2026-01-28,ready
14449,weekly_word,1093,2026-01-28,ready
14451,weekly_insult,1296,2026-01-28,ready
14452,weekly_word,1094,2026-01-28,ready
14454,weekly_insult,1297,2026-01-28,ready
16454,weekly_insult,1295,2026-01-29,ready
16455,weekly_word,1093,2026-01-29,ready
16456,weekly_phrase,1189,2026-01-29,ready
16457,weekly_insult,1296,2026-01-29,ready
16458,weekly_word,1094,2026-01-29,ready
16459,weekly_phrase,1190,2026-01-29,ready
16460,weekly_insult,1297,2026-01-29,ready
17098,weekly_insult,1381,2026-01-29,ready
17099,weekly_word,1130,2026-01-29,ready
17100,weekly_phrase,1191,2026-01-29,ready
17101,weekly_insult,1299,2026-01-29,ready
17102,weekly_word,1097,2026-01-29,ready
17103,weekly_phrase,1194,2026-01-29,ready
17104,weekly_insult,1302,2026-01-29,ready
17105,weekly_word,1100,2026-01-29,ready
17106,weekly_phrase,1197,2026-01-29,ready
17107,weekly_insult,1305,2026-01-29,ready
17108,weekly_word,1103,2026-01-29,ready
17109,weekly_phrase,1200,2026-01-29,ready
17110,weekly_insult,1308,2026-01-29,ready
17111,weekly_word,1106,2026-01-29,ready
17112,weekly_phrase,1203,2026-01-29,ready
17113,weekly_insult,1311,2026-01-29,ready
17114,weekly_word,1109,2026-01-29,ready
17115,weekly_phrase,1206,2026-01-29,ready
17116,weekly_insult,1314,2026-01-29,ready
17117,weekly_word,1112,2026-01-29,ready
17118,weekly_phrase,1209,2026-01-29,ready
17119,weekly_insult,1317,2026-01-29,ready
17120,weekly_word,1115,2026-01-29,ready
17121,weekly_phrase,1212,2026-01-29,ready
17122,weekly_insult,1320,2026-01-29,ready
17123,weekly_word,1118,2026-01-29,ready
17124,weekly_phrase,1215,2026-01-29,ready
17125,weekly_insult,1323,2026-01-29,ready
17126,weekly_word,1121,2026-01-29,ready
17127,weekly_phrase,1218,2026-01-29,ready
17128,weekly_insult,1326,2026-01-29,ready
17129,weekly_word,1124,2026-01-29,ready
17130,weekly_phrase,1221,2026-01-29,ready
17131,weekly_insult,1329,2026-01-29,ready
17132,weekly_word,1127,2026-01-29,ready
17133,weekly_phrase,1224,2026-01-29,ready
17134,weekly_insult,1332,2026-01-29,ready
17136,weekly_phrase,1227,2026-01-29,ready
17137,weekly_insult,1335,2026-01-29,ready
17138,weekly_word,1133,2026-01-29,ready
17139,weekly_phrase,1230,2026-01-29,ready
17140,weekly_insult,1338,2026-01-29,ready
17141,weekly_word,1136,2026-01-29,ready
17142,weekly_phrase,1233,2026-01-29,ready
17143,weekly_insult,1342,2026-01-29,ready
