design_id,name,srt,description
"493","42nd Regiment (British Army)","",""
"500","93rd Regiment (British Army)","",""
"2","Abbotsford","",""
"1","Abbotsford Check","",""
"300265","Abel (2015)","11368","Designed by Dannie Abel using colours of significance to the family. This tartan may be used by all those with the surname Abel."
"3","Abercrombie ","",""
"4","Aberdale","",""
"9","Aberdeen Angus Cattle Society","",""
"5","Aberdeen District","",""
"6","Aberdeen Dress","",""
"7","Aberdeen Dress (DCD)","",""
"8","Aberdeen Dress Dance","",""
"14","Aberdeen Football Club","",""
"12","Aberdeen Football Club #2","",""
"13","Aberdeen Football Club #3","",""
"15","Aberdeen Mither Kirk (St. Nicholas)","",""
"16","Aberdeen University 1992","",""
"17","Aberdeen University 1995","",""
"19","Abergavenny ","",""
"21","Aberlour Glenlivet","",""
"20","Aberlour Glenlivet Bicentenary","",""
"23","Aberuchil","",""
"24","ABF The Soldiers' Charity","",""
"25","Aboyne ","",""
"26","ACS Clothing Ltd Blue Spirit","",""
"27","ACS Clothing Ltd Earl Blue Marl","",""
"28","ACS Clothing Ltd Grey Spirit","",""
"29","ACS Clothing Ltd Summer Spirit","",""
"30","Adams","",""
"31","Aedifos","",""
"301064","Afallon","",""
"32","Affara","",""
"33","Agincourt ","",""
"34","Agnew ","",""
"35","Aguilar Gorrondona","",""
"36","AIK Stockholm Football Club 2009","",""
"37","Ailsa Craig","",""
"5571","Ailsa Dress Gold","",""
"5557","Ailsa Dress Navy","",""
"5553","Ailsa Dress Pink","",""
"5537","Ailsa Dress Red","",""
"5561","Ailsa Dress Royal","",""
"5570","Ailsa Dress Yellow","",""
"38","Ailsa Grey","",""
"41","Ainslie","",""
"39","Ainslie 1992 Variant","",""
"40","Ainslie Lake District","",""
"6217","Aisteach","",""
"42","Aitchison (James) personal","",""
"43","Aitken","",""
"44","Aiton","",""
"47","Akins","",""
"45","Akins 1986","",""
"46","Akins of Candler","",""
"48","Akintiev","",""
"49","Al-Fadhli","",""
"51","Alabama","",""
"50","Alabama Tartan Day","",""
"6218","Alabama University of","",""
"52","Alaskan Scottish","",""
"53","Alba","",""
"6219","Alberta Dental Association and College","",""
"54","Alberta Dress","",""
"55","Alberta Provincial","",""
"56","Albuquerque","",""
"57","Alexander (TL) personal","",""
"58","Alexander Alasdair Dhana","",""
"64","Alexander Brothers ","",""
"59","Alexander Hunting","",""
"60","Alexander of Menstry","",""
"61","Alexander of Menstry Dress","",""
"62","Alexander of Menstry Hunting","",""
"63","Alexander Wedding","",""
"65","Alexander-Johnstone personal","",""
"66","Algarve","",""
"67","All as One","",""
"68","All Ireland Blue","",""
"69","All Ireland Blue Dress","",""
"70","All Ireland Green","",""
"6220","All Ireland Green #2","",""
"71","All Ireland Red","",""
"72","Allan ","",""
"75","Allan 1998 (Personal)","",""
"74","Allanton","",""
"73","Allanton Dress","",""
"76","Allen Hunting","",""
"77","Allen Joy's Fancy","",""
"78","Allen of Northumbria","",""
"79","Allendale Dress Blue","",""
"80","Allendale Dress Red","",""
"82","Alliance France-Ecosse","",""
"81","Alliance France-Ecosse #2","",""
"83","Alliance of Border Scots","",""
"84","Allison ","",""
"85","Allman-Jones","",""
"87","Alma College","",""
"12586","Almut Linke & Maic Lemkemeyer – Wedding (Personal)","",""
"88","Alpha Chi Sigma Fraternity","",""
"89","Alvis of Lee","",""
"90","Amarillo, Texas","",""
"91","Amazing Union","",""
"6221","Amazon","",""
"93","American Bicentennial","",""
"92","American Bicentennial #2","",""
"94","American Confederate Artillery","",""
"95","American Confederate Cavalry","",""
"96","American Confederate Infantry","",""
"97","American Confederate Memorial","",""
"98","American Confederate Memorial Dress","",""
"99","American Confederate Military","",""
"100","American District","",""
"101","American Eagle","",""
"102","American Federal Memorial","",""
"103","American National","",""
"104","American Society of Travel Agents","",""
"105","AMEX American Express","",""
"6222","Amirali Bakirali Nasir","",""
"106","Amnesty International","",""
"107","Ancient Atlantic","",""
"121","Anderson","",""
"108","Anderson (Blackwood) personal","",""
"109","Anderson Arisaid","",""
"110","Anderson Arisaid #2","",""
"111","Anderson Blue","",""
"113","Anderson Green","",""
"114","Anderson Grey","",""
"122","Anderson Highland Society of London","",""
"115","Anderson of Ardbrake","",""
"116","Anderson of Kinneddar Hunting","",""
"117","Anderson of Kinneddar Red","",""
"118","Anderson Old","",""
"119","Anderson Red","",""
"120","Anderson Ross","",""
"123","Andover","",""
"124","Andreou (Kimon) personal","",""
"125","Angle Blue","",""
"126","Angle Dress","",""
"127","Angle Green","",""
"128","Anglicare","",""
"129","Angove (Neville) personal","",""
"130","Angus District","",""
"131","Angus Dress 1992","",""
"132","Angus Dress 1998","",""
"134","Annand","",""
"133","Annand #2","",""
"135","Anne Arundel County","",""
"136","Antarctic Heritage Trust","",""
"137","Anthony Blue Plaid","",""
"138","Anthony Ecro Plaid","",""
"139","Anthony Red Plaid","",""
"140","Anthony Stewart Plaid","",""
"142","Antigonish","",""
"141","Antigonish Bicentennial","",""
"143","Antigua & Barbuda","",""
"144","Antique 2000","",""
"145","Antonelli (John) personal","",""
"146","Antrim Irish County","",""
"4892","Antrim Irish County Crest","",""
"147","Anzac","",""
"148","Aon Insurance","",""
"150","Applecross District","",""
"151","Aquascutum","",""
"152","Arbroath Smokie","",""
"153","Arbuthnot ","",""
"154","Arbutus","",""
"6224","Arctic Tundra","",""
"155","Ardmore","",""
"5538","Arduaine Red","",""
"156","Argentina National","",""
"157","Argyle Campbell","",""
"158","Argyle Dress","",""
"159","Arizona","",""
"160","Arkansas State","",""
"161","Armadale City","",""
"162","Armagh Irish County","",""
"4893","Armagh Irish County Crest","",""
"164","Armstrong","",""
"163","Armstrong (Alec) personal; Victoria City","",""
"165","Arndt","",""
"6225","Arnold of California","",""
"166","Arran District","",""
"167","Arran Isle","",""
"168","Arrol","",""
"169","Art Pewter Silver","",""
"170","Arundel County","",""
"171","Asahi","",""
"11505","Asatru Folk Assembly ","12",""
"172","ASDA Wal-Mart","",""
"173","Asher","",""
"176","Asman ","",""
"174","Asman Day Tan","",""
"175","Asman Hunting","",""
"177","Asselin (Madeleine) personal; Contrecoeur","",""
"178","Asselin (Madeleine) personal; Contrecoeur Dress","",""
"179","Atholl District","",""
"180","Atikokan","",""
"181","Atlanta Metropolitan Police","",""
"182","Atlanta National Gold Course Club","",""
"183","Atlantic","",""
"398421","Atlantic Tide","",""
"184","Atlin","",""
"11426","Auburn ","",""
"185","Auburn  University of Alabama","",""
"186","Auchairne Estate Estate","",""
"187","Auchairne Estate Grey","",""
"188","Auchincloss","",""
"189","Auchterlonie","",""
"398415","Auld Acquaintance","",""
"300496","Auld Alliance","",""
"191","Auld Lang Syne","",""
"190","Auld Lang Syne Blue","",""
"5026","Auld Lang Syne Grey","",""
"6226","Auld Lang Syne STWR 240","",""
"192","Auld Reekie","",""
"193","Auld Scotland ","",""
"194","Austin (Wilsons' No.137)","",""
"298118","Austin R. by Amble","",""
"200","Australian","",""
"198","Australian #2","",""
"197","Australian 2000","",""
"201","Australian Defence Force Academy","",""
"199","Australian National","",""
