ID,Preview,Type,Family,Name,Nationality,"Legacy ID",Attribute,Offline,"Restriction Supplier",Active,Customer's
2427,,Tartan,,"<strong>Loch Lomond</strong>",,628,,No,,Yes,No
2402,,Tartan,,"<strong>Little of Morton Rigg; Red</strong>",,7238,,No,,Yes,No
2403,,Tartan,,"<strong>Little Singers of Takarazuka</strong>",,64708,,No,,Yes,No
2404,,Tartan,,"<strong>Liverpool Scottish</strong>",,5959,,No,,Yes,No
2411,,Tartan,,<strong>Australia</strong>,Australian,55036,,No,,Yes,No
2412,,Tartan,,"<strong>LL Bean Hunting</strong>",,106,,No,,Yes,No
2417,,Tartan,,<strong>Lobban</strong>,,5441,,No,,Yes,No
2418,,Tartan,,"<strong>Loch Awe</strong>",Scottish,43568,,No,,Yes,No
2419,,Tartan,,"<strong>Loch Carron District</strong>",,731,,No,,Yes,No
2420,,Tartan,,"<strong>Loch Fyne</strong>",,6817,,No,,Yes,No
2421,,Tartan,,"<strong>Loch Garth District</strong>",,1750,,No,,Yes,No
2422,,Tartan,,"<strong>Loch Laggan District</strong>",,796,,No,,Yes,No
2423,,Tartan,,"<strong>Loch Leven Dress</strong>",,4990,,No,,Yes,No
2424,,Tartan,,"<strong>Loch Leven</strong>",,108,,No,,Yes,No
2425,,Tartan,,"<strong>Loch Lochy</strong>",Scottish,57015,,No,,Yes,No
2426,,Tartan,,"<strong>Loch Lomond #2</strong>",,953,,No,,Yes,No
2397,,Tartan,,<strong>Lisbon</strong>,,5433,,No,,Yes,No
2429,,Tartan,,"<strong>Loch Ness #2</strong>",,1219,,No,,Yes,No
2430,,Tartan,,"<strong>Loch Ness</strong>",,5468,,No,,Yes,No
2431,,Tartan,,"<strong>Loch Rannoch</strong>",,943,,No,,Yes,No
2432,,Tartan,,"<strong>Loch Tummel District</strong>",,1751,,No,,Yes,No
2439,,Tartan,,"<strong>Lochcarron (Scotland) personal #2</strong>",,5466,,No,,Yes,No
2440,,Tartan,,"<strong>Lochcarron (Scotland) personal; 1985</strong>",,5462,,No,,Yes,No
2441,,Tartan,,"<strong>Lochcarron (Scotland) personal; Camel</strong>",,5461,,No,,Yes,No
2443,,Tartan,,"<strong>Lochcarron (Scotland) personal; Dress</strong>",,5463,,No,,Yes,No
2444,,Tartan,,"<strong>Lochcarron (Scotland) personal; Hunting</strong>",,5464,,No,,Yes,No
2446,,Tartan,,"<strong>Lochnagar Dark</strong>",Scottish,66537,,No,,Yes,No
